,Month,Total_private_pch,Construction_pch
653,2014-06-01,0.23057,0.39286
654,2014-07-01,0.20267,0.73374
655,2014-08-01,0.19458,0.51797
656,2014-09-01,0.22401,0.5153
657,2014-10-01,0.18867,0.27235
658,2014-11-01,0.22818,0.2077
659,2014-12-01,0.22174,0.33482
660,2015-01-01,0.15454,0.42905
661,2015-02-01,0.20995,0.64873
662,2015-03-01,0.08666,-0.42446
663,2015-04-01,0.20428,0.91569
664,2015-05-01,0.27769,0.54756
665,2015-06-01,0.12717,0.21783
666,2015-07-01,0.21641,0.48129
667,2015-08-01,0.10922,0.27812
668,2015-09-01,0.12909,0.27735
669,2015-10-01,0.25286,0.59926
670,2015-11-01,0.16594,0.77898
671,2015-12-01,0.21287,0.485
672,2016-01-01,0.081,0.01508
673,2016-02-01,0.15526,0.13573
674,2016-03-01,0.17811,0.57229
675,2016-04-01,0.15146,0.35939
676,2016-05-01,0.02466,-0.19397
677,2016-06-01,0.22185,0.1794
678,2016-07-01,0.20824,0.50739
679,2016-08-01,0.126,0.01485
680,2016-09-01,0.21082,0.47506
681,2016-10-01,0.1109,0.45804
682,2016-11-01,0.1124,0.35299
683,2016-12-01,0.15621,-0.07328
684,2017-01-01,0.1779,0.32268
685,2017-02-01,0.15893,0.59942
686,2017-03-01,0.10282,0.30519
687,2017-04-01,0.15447,0.20284
688,2017-05-01,0.16554,0.21689
689,2017-06-01,0.14995,0.44727
690,2017-07-01,0.13685,0.08618
691,2017-08-01,0.15997,0.48794
692,2017-09-01,0.05538,0.1571
693,2017-10-01,0.09626,0.25667
694,2017-11-01,0.16989,0.52624
695,2017-12-01,0.1112,0.32541
696,2018-01-01,0.12706,0.0282
697,2018-02-01,0.27375,1.28296
698,2018-03-01,0.17113,0.1392
699,2018-04-01,0.10171,0.25021
700,2018-05-01,0.25718,0.85968
701,2018-06-01,0.14093,0.24746
702,2018-07-01,0.08064,0.35656
703,2018-08-01,0.17221,0.39628
704,2018-09-01,0.06546,0.38111
705,2018-10-01,0.1261,0.18983
706,2018-11-01,0.08029,-0.0406
707,2018-12-01,0.11404,0.13539
708,2019-01-01,0.23253,0.37858
